extrovert, life of the party
ostentatious, designed to impress
sycophant, clings to influential people
heterogenous, not of same kind
vociferous, offensively loud
circumlocution, an indirect way of expressing something
ignominious, publicly shameful or humiliating
predecessor, someone who comes before you
scrutinize, to examine carefully 
gregarious, opposite of shy
temperament, usual mood or feelings
belligerent, inclined to fight
conventional, aligned with general beliefs
corroborate, confirm
martinet, someone who demands exact conformity to rules and forms
unabashed, not embarrassed
amiable, diffusing warmth and friendliness
confidant, someone to whom private matters are told
cumulative, increasing by successive addition
eloquent, expressing yourself clearly
insatiable, impossible to satisfy
